Subject,Distance,Context,Resp13,RT,Vis
5,5,1,1,0.38357,1
5,1,0,0,0.38077,1
5,3,0,0,0.36683,1
5,5,1,1,0.25793,1
5,5,1,1,0.43397,1
5,2,0,0,0.37112,2
5,3,1,1,0.5698,1
5,4,0,1,0.34574,1
5,2,1,0,0.30761,1
5,2,0,1,0.22481,1
5,3,0,1,0.26683,1
5,6,0,1,0.34261,1
5,5,1,0,0.26848,1
5,6,1,0,0.2285,2
5,6,0,0,0.55959,1
5,5,0,1,0.36833,1
5,6,1,1,0.57475,2
5,5,0,0,0.38542,1
5,3,0,1,0.26543,1
5,4,1,1,0.37315,1
5,4,1,1,0.27577,1
