Subject,Distance,Context,Resp13,RT,Vis
1,1,1,1,0.56086,1
1,4,0,1,0.64066,1
1,2,1,1,0.77373,1
1,4,0,1,0.70445,1
1,3,1,1,0.69563,1
1,4,0,1,0.7426,1
1,5,0,1,0.80726,1
1,6,1,1,0.77104,1
1,4,1,1,0.61821,1
1,1,0,1,0.7126,1
1,4,1,1,0.62727,1
1,3,0,1,0.64698,1
1,5,0,1,0.6408,1
1,5,0,1,0.72069,1
1,4,0,1,0.59451,1
1,6,0,1,0.6771,1
1,3,1,1,0.58803,1
1,3,0,1,0.63468,1
1,5,0,1,0.59923,1
1,5,0,1,0.57098,1
1,4,1,1,0.55086,1
1,3,0,1,0.57416,1
1,5,0,1,0.63271,1
1,4,1,1,0.75922,1
1,3,1,1,0.50089,1
1,5,0,1,0.55735,1
1,1,0,1,0.63187,1
1,3,1,1,0.96727,1
1,5,1,1,0.53301,1
1,5,0,1,0.60405,1
1,4,1,1,0.54452,1
1,2,0,1,0.49225,1
1,4,1,1,0.54616,1
1,1,0,1,0.58602,1
1,4,1,1,0.7484,1
1,2,0,1,0.49139,1
1,2,1,1,0.57424,1
1,2,0,1,0.54023,1
1,5,0,1,0.6381,1
1,5,1,1,0.54853,1
1,1,1,1,0.5583,1
1,3,0,1,0.54151,1
1,3,1,1,0.48009,1
1,2,0,1,0.49049,1
1,3,0,1,0.46772,1
1,3,1,1,0.51365,1
1,6,1,1,0.48074,1
1,1,0,1,0.51234,1
1,1,0,0,0.86435,1
1,5,1,1,0.65463,1
1,6,1,1,0.644,1
1,2,1,1,0.52044,1
1,5,0,1,0.59358,1
1,2,0,1,0.50726,1
1,2,1,1,0.52466,1
1,6,1,1,0.64648,1
1,4,1,1,1.2575,1
1,5,0,1,0.67809,1
1,3,1,1,0.63515,1
1,4,0,1,0.54493,1
1,4,0,1,0.55296,1
1,6,1,1,0.65271,1
1,4,0,1,0.97668,1
1,1,1,1,0.82583,1
1,3,0,1,0.62555,1
1,6,0,1,0.61019,1
1,1,1,0,0.87269,1
1,2,0,0,0.69103,1
1,4,1,0,1.0495,1
1,2,0,0,0.6455,1
1,2,0,0,0.59924,1
1,2,1,0,0.57233,1
1,4,0,0,0.72512,1
1,1,0,0,0.62217,1
1,1,0,0,0.62386,1
1,5,1,1,0.69568,1
1,1,0,0,0.67879,1
1,1,1,0,0.59078,1
1,2,0,0,0.74653,1
