Subject,Distance,Context,Style,Item,ClassRef,RT,Vis
1,2,0,1,1,1,0.53668,1
1,3,1,1,6,0,0.54332,1
1,3,1,1,4,1,0.43729,1
1,2,1,1,5,1,0.70321,1
1,1,1,1,1,1,0.54246,1
1,3,1,1,2,0,0.91038,1
1,2,1,1,3,1,0.5115,1
1,3,1,1,1,1,0.49886,1
1,2,0,1,4,1,0.47683,1
1,1,1,1,5,1,0.49127,1
1,3,0,1,2,0,0.64464,1
1,3,0,1,6,0,0.60521,1
1,3,1,1,5,1,0.46103,1
1,1,1,1,6,0,0.61843,1
1,2,1,1,2,0,0.53436,1
1,2,0,1,6,0,0.61876,1
1,1,0,1,3,1,0.60345,1
1,2,1,1,1,1,0.48469,1
1,1,0,1,2,0,0.5199,1
1,3,0,1,4,1,0.45595,1
1,2,0,1,5,0,0.52248,1
1,1,1,1,2,0,0.51845,1
1,2,1,1,4,1,0.515,1
1,1,0,1,5,1,0.60624,1
1,1,1,1,4,1,0.67873,1
1,3,1,1,3,1,0.58024,1
1,1,0,1,6,0,0.66665,1
1,1,0,1,4,1,0.57861,1
1,1,1,1,3,1,0.53243,1
1,3,0,1,1,1,0.5172,1
1,2,0,1,3,1,0.50027,1
1,2,1,1,2,0,0.63139,1
1,1,1,1,6,0,0.54399,1
1,3,1,1,3,1,0.53721,1
1,1,0,1,4,1,0.49711,1
1,3,0,1,6,0,0.59374,1
1,2,0,1,5,0,0.8031,1
1,2,1,1,1,1,0.5123,1
1,2,0,1,2,0,0.59896,1
1,1,0,1,1,1,0.52621,1
1,1,1,1,4,1,0.49666,1
1,3,0,1,1,1,0.60916,1
1,3,0,1,2,0,0.59301,1
1,2,1,1,5,1,0.49762,1
1,2,1,1,4,1,0.5036,1
1,1,0,1,6,1,0.77418,1
1,2,0,1,3,1,0.6181,1
1,3,0,1,5,1,0.83664,1
1,1,0,1,2,0,0.55659,1
1,1,0,1,5,1,0.57998,1
1,2,0,1,4,1,0.51706,1
1,1,0,1,3,1,0.55151,1
1,3,1,1,1,1,0.54363,1
1,3,0,1,4,1,0.58137,1
1,1,1,1,5,1,0.75245,1
1,1,1,1,1,1,0.55316,1
1,3,1,1,5,1,0.52314,1
1,2,1,1,3,1,0.61161,1
1,3,1,1,2,0,0.69358,1
1,2,0,1,6,0,0.58544,1
1,1,1,1,3,1,0.538,1
1,2,0,1,1,1,0.53399,1
1,3,1,1,4,1,0.54924,1
1,1,1,1,2,0,0.56111,1
1,2,1,1,6,1,0.4819,1
1,3,0,1,3,1,0.56297,1
1,3,1,1,6,0,0.63422,1
2,1,1,1,6,0,1.4417,2
2,2,1,1,4,1,1.2735,2
2,1,0,1,1,0,1.3882,2
2,1,0,1,2,0,0.96323,1
2,3,0,1,6,0,0.59106,1
