Subject,Distance,Context,Condition,ClassRef,RT,Vis
6,2,0,0,1,0.60109,1
6,3,1,0,0,0.67823,1
6,6,0,0,0,0.55401,1
6,1,1,0,1,0.51865,1
6,5,0,0,0,0.48127,1
6,6,0,0,0,0.43926,1
6,1,0,0,0,0.60836,1
6,3,1,0,0,0.5751,1
6,4,1,0,0,0.6228,1
6,2,0,0,1,0.64216,1
6,5,1,0,0,0.49887,1
6,6,1,0,0,0.58278,1
6,3,0,0,0,0.51469,1
6,2,1,0,1,0.56645,1
7,3,1,0,1,1.1522,1
7,2,0,0,0,0.68338,1
7,1,1,0,1,0.86746,1
7,6,1,0,1,0.50997,1
7,2,1,0,0,1.0132,1
7,6,0,0,1,0.33304,1
7,5,1,0,0,0.2809,1
7,1,0,0,1,0.24899,1
7,4,1,0,0,0.40089,1
7,4,0,0,1,0.36008,1
7,3,0,0,1,0.55074,1
7,5,0,0,0,0.59601,1
7,3,1,0,1,0.59039,1
7,5,0,0,0,0.34578,1
7,2,1,0,1,0.39648,1
7,6,0,0,0,0.50695,1
7,4,0,0,0,0.29223,1
7,1,1,0,1,0.26938,1
7,5,1,0,1,0.19386,1
7,6,1,0,1,0.38328,1
7,1,0,0,0,0.53098,1
7,2,0,0,1,0.81104,1
7,3,0,0,1,0.49692,1
7,4,1,0,0,0.24345,1
7,2,0,0,1,0.21255,1
7,6,0,0,1,0.22657,1
7,2,1,0,0,0.20169,1
7,6,1,0,0,0.18307,1
7,3,1,0,0,0.18307,1
7,5,0,0,1,0.18307,1
7,4,0,0,1,NaN,1
7,3,0,0,1,0.31406,1
7,5,1,0,0,0.21714,1
7,1,1,0,0,0.30857,1
7,4,1,0,1,0.75472,1
7,1,0,0,0,0.34637,1
7,5,1,0,1,0.20201,1
7,2,1,0,1,0.18307,1
7,6,1,0,1,0.18459,1
7,2,0,0,0,0.18307,1
7,1,0,0,0,0.18307,1
7,4,1,0,1,0.18307,1
7,5,0,0,0,0.18308,1
7,6,0,0,0,0.18307,1
7,1,1,0,1,0.18307,1
7,3,1,0,1,0.18309,1
7,3,0,0,0,0.18307,1
7,4,0,0,0,0.18307,1
7,2,1,0,1,0.18307,1
7,5,0,0,0,0.18307,1
7,1,1,0,1,0.18307,1
7,3,1,0,1,0.18309,1
7,1,0,0,0,0.18308,1
7,6,0,0,0,0.18308,1
7,6,1,0,1,0.18308,1
7,5,1,0,1,0.18308,1
7,3,0,0,0,0.23804,1
7,4,0,0,0,0.18307,1
7,2,0,0,1,1.239,1
7,4,1,0,0,0.54964,1
7,5,0,0,0,0.20017,1
7,4,1,0,1,0.1831,1
7,3,0,0,0,0.18307,1
7,4,0,0,0,0.18307,1
7,5,1,0,0,0.27524,1
7,2,1,0,1,0.18307,1
7,1,0,0,0,0.18307,1
7,6,1,0,1,0.18307,1
7,1,1,0,1,1.3169,1
7,2,0,0,0,0.22451,1
7,3,1,0,1,0.18312,1
7,6,0,0,0,0.18307,1
7,1,1,0,1,0.18307,1
7,5,0,0,0,0.18307,1
7,6,0,0,0,0.18307,1
7,1,0,0,0,0.20965,1
7,3,1,0,1,0.21873,1
7,4,1,0,1,0.94315,1
8,3,1,0,0,2.519,1
8,2,0,0,0,2.2894,1
8,1,1,0,1,0.96126,1
8,6,1,0,1,0.67374,1
8,2,1,0,1,0.90501,1
8,6,0,0,1,0.7935,1
8,5,1,0,0,0.91671,1
8,1,0,0,1,0.73406,1
8,4,1,0,0,0.94128,1
8,4,0,0,0,0.85901,1
8,3,0,0,1,1.0304,1
8,5,0,0,0,0.94219,1
8,3,1,0,1,1.1499,1
8,5,0,0,1,0.92641,1
8,2,1,0,0,0.6519,1
8,6,0,0,1,0.64846,1
8,4,0,0,1,0.90759,1
8,1,1,0,1,0.61686,1
8,5,1,0,0,0.78541,1
8,6,1,0,1,0.60665,1
8,1,0,0,1,0.72725,1
8,2,0,0,0,1.0624,1
8,3,0,0,1,0.99971,1
8,4,1,0,0,0.82946,1
8,2,0,0,1,0.58409,1
8,6,0,0,0,1.374,1
8,2,1,0,1,0.79784,1
8,6,1,0,0,2.4063,1
8,3,1,0,1,1.1369,1
8,5,0,0,0,0.77535,1
8,4,0,0,1,0.66192,1
8,3,0,0,1,0.6145,1
8,5,1,0,0,0.64566,1
8,1,1,0,0,1.2222,1
8,4,1,0,0,1.3588,1
8,1,0,0,1,1.1053,1
8,5,1,0,0,0.57791,1
8,2,1,0,0,0.80188,1
8,6,1,0,1,0.67501,1
8,2,0,0,0,0.73762,1
8,1,0,0,1,0.79551,1
8,4,1,0,0,0.58541,1
8,5,0,0,1,1.506,1
8,6,0,0,1,0.61451,1
8,1,1,0,0,0.49778,1
8,3,1,0,0,0.50235,1
8,3,0,0,1,0.52368,1
8,4,0,0,1,0.62677,1
8,2,1,0,0,0.66059,1
8,5,0,0,1,0.60867,1
8,1,1,0,0,0.52518,1
8,3,1,0,0,0.72357,1
8,1,0,0,1,NaN,1
8,6,0,0,0,0.87618,1
8,6,1,0,1,1.2325,1
8,5,1,0,0,4.1025,4
8,3,0,0,1,1.6475,1
8,4,0,0,1,0.67599,1
8,2,0,0,1,0.54379,1
8,4,1,0,1,0.71902,1
8,5,0,0,0,0.54644,1
8,4,1,0,0,0.7669,1
8,3,0,0,1,0.74192,1
8,4,0,0,1,1.1587,1
8,5,1,0,0,1.1765,1
8,2,1,0,0,0.48289,1
8,1,0,0,1,0.62767,1
8,6,1,0,0,0.56679,1
8,1,1,0,0,0.62076,1
8,2,0,0,0,1.7373,2
8,3,1,0,0,0.64516,1
8,6,0,0,1,0.41972,1
8,1,1,0,0,1.2043,1
8,5,0,0,0,2.5587,2
8,6,0,0,1,0.58928,1
8,1,0,0,1,0.46845,1
8,3,1,0,0,0.49292,1
8,4,1,0,0,0.543,1
8,2,0,0,1,0.48619,1
8,5,1,0,0,0.4501,1
9,6,1,0,0,2.3921,1
9,2,0,0,1,1.032,1
9,3,0,0,0,0.96722,1
9,1,1,0,1,1.537,1
9,4,1,0,0,1.4663,2
9,5,1,0,1,1.7941,1
9,4,0,0,1,1.7099,2
9,1,0,0,0,0.9344,1
9,3,1,0,0,1.2276,1
9,2,1,0,0,2.5195,1
9,6,0,0,0,0.98872,1
9,5,0,0,0,1.2624,1
9,5,1,0,1,1.2923,1
9,4,1,0,0,0.875,1
9,1,1,0,1,1.1547,1
9,2,0,0,1,1.1214,1
9,1,0,0,0,0.89389,1
9,6,1,0,0,0.67657,1
9,6,0,0,0,0.88968,1
9,3,1,0,0,1.1742,1
9,2,1,0,1,2.1694,2
9,5,0,0,0,0.80173,1
9,4,0,0,1,0.58564,1
9,3,0,0,0,1.2144,1
9,2,1,0,1,1.1661,1
9,3,1,0,0,1.0289,1
9,4,0,0,0,1.1407,1
9,1,1,0,0,0.60332,1
9,3,0,0,0,0.46389,1
9,5,0,0,0,1.9585,3
9,4,1,0,1,0.47882,1
9,5,1,0,0,0.50129,1
9,1,0,0,0,0.41518,1
9,6,1,0,0,0.64516,1
9,6,0,0,0,0.34523,1
9,2,0,0,1,0.62242,1
9,5,1,0,1,0.54557,1
