Subject,Distance,Is_Let,Is_Num,Resp13,RT,Vis
1,4,0,0,1,0.65464,4
1,6,0,0,1,1.262,4
1,5,0,1,1,0.64745,4
1,3,1,0,0,0.64629,4
1,2,0,0,1,0.67439,4
1,6,1,0,0,0.61291,4
1,2,1,0,0,0.53487,4
1,2,0,1,1,0.64874,4
1,6,0,0,1,0.5762,4
1,5,0,1,1,0.54508,4
1,2,0,0,1,0.75868,4
1,6,0,0,1,0.46271,4
1,4,0,0,1,0.77531,4
1,6,1,0,1,1.4838,4
1,3,0,1,1,0.58808,4
1,4,1,0,0,1.0432,4
1,1,0,1,0,1.0506,1
1,1,0,0,1,0.59695,4
1,4,1,0,0,0.60046,4
1,4,1,0,0,0.50611,4
1,6,1,0,0,0.49794,4
1,4,0,1,0,0.75266,4
1,6,0,0,0,0.28686,4
1,3,1,0,0,0.47514,4
1,5,0,1,1,0.81601,1
1,5,0,1,1,0.60621,4
1,3,0,1,1,0.65845,4
1,4,0,0,1,0.96892,4
1,4,1,0,1,0.60617,4
1,4,1,0,1,1.233,4
1,3,0,0,1,0.91043,4
1,1,0,0,1,0.69226,4
1,3,1,0,0,0.43039,4
1,1,1,0,0,0.72891,4
1,5,0,0,1,0.42399,4
1,2,0,1,1,0.6271,4
1,1,0,0,0,0.52378,4
1,4,0,0,1,0.51893,4
1,5,0,1,1,0.48947,4
1,4,0,0,1,0.49188,4
1,6,1,0,0,0.79466,4
1,5,1,0,0,0.67085,4
1,4,1,0,0,0.55543,4
1,3,0,0,1,0.5836,4
1,4,0,1,1,0.66029,4
1,6,1,0,0,0.58469,4
1,6,0,0,1,0.54546,4
1,1,0,0,0,1.3525,4
1,3,0,1,1,0.68535,4
1,2,0,1,1,0.65596,4
1,3,1,0,0,1.0302,4
1,2,0,0,0,1.0956,4
1,1,0,1,1,1.5238,4
1,3,1,0,0,0.6887,4
1,2,1,0,0,0.48849,4
1,3,0,1,1,1.5086,1
1,5,1,0,0,0.52335,4
1,1,0,1,0,1.2912,4
1,3,0,0,1,0.53261,4
1,2,0,0,1,0.35952,4
1,4,0,1,0,0.74287,4
1,6,0,0,1,0.54745,4
1,6,1,0,0,0.59479,4
1,1,0,0,1,0.51167,4
1,2,0,0,1,0.59559,4
1,6,1,0,0,0.63512,4
1,1,0,0,0,0.56673,4
1,6,0,1,1,0.65743,4
1,4,0,1,1,0.58026,4
1,1,0,1,1,0.53461,4
1,1,1,0,1,0.56553,4
1,2,0,0,1,0.96011,4
1,3,1,0,0,0.83572,4
1,3,0,0,1,0.42835,4
1,3,1,0,0,0.51886,4
1,4,0,1,1,0.65935,4
1,6,0,0,1,0.63516,4
1,5,0,1,1,0.49923,4
1,1,1,0,0,0.61752,4
1,5,1,0,0,1.0961,4
1,1,0,1,1,0.67838,4
1,1,0,1,1,0.54558,4
1,2,1,0,1,0.39754,4
1,4,1,0,0,0.59356,4
1,4,1,0,0,0.49827,4
1,4,0,1,1,0.5927,4
1,3,0,0,1,0.63745,4
1,2,0,0,1,1.0417,4
1,6,1,0,0,0.61243,4
1,6,0,0,1,0.46466,4
1,3,1,0,0,0.67837,4
1,1,0,1,1,0.53958,4
1,3,0,1,1,0.5376,4
1,2,0,1,1,0.54491,4
1,3,0,1,1,0.82254,4
1,6,1,0,1,0.58212,4
1,6,1,0,1,0.81374,4
1,3,1,0,1,0.57476,4
1,1,0,1,1,0.65977,4
1,4,1,0,1,0.5441,4
