"","id","cond","aware","addcno","addino","addnooutliers","addcrx","addclrx","addirx","addilrx","subcno","subino","subnooutliers","subcrx","subclrx","subirx","subilrx","Purpose","ExplicitAware","Type","pass","completeunaware","awareness","eye","block","filter_$","addpro","subpro","addout","subout"
"65",1122,2,0.484375,32,32,63,693.0645161,6.53279116,650.9375,6.471852195,24,24,46,645.3333333,6.464503983,641.3636364,6.453463286,2,2,0,1,1,1,1,1,1,1,1,0.984375,0.958333333333333
"66",1123,3,0.515625,32,32,64,446.375,6.089433763,451.9375,6.109725632,24,24,48,459.0833333,6.126540261,466.0416667,6.139161373,2,2,0,1,1,1,0,0,1,1,1,1,1
"67",1124,4,0.46875,32,32,61,592.0689655,6.369227989,638.375,6.446624909,24,24,48,588,6.362484921,605.7083333,6.398839761,2,2,0,1,1,1,1,0,1,1,1,0.953125,1
"68",1127,4,0.546875,32,32,63,684.7096774,6.514967416,677.625,6.507586044,24,24,46,667.6956522,6.499280363,668.0434783,6.489631192,2,2,0,1,1,1,1,0,1,1,1,0.984375,0.958333333333333
"69",1128,3,0.390625,32,32,64,604.1875,6.39871478,573.875,6.344755801,24,24,47,583.0416667,6.36349998,601.5652174,6.395077172,2,2,0,1,1,1,0,0,1,1,1,1,0.979166666666667
"70",1129,3,0.421875,32,32,64,589.5,6.375592805,575.53125,6.348466143,24,24,48,646.4583333,6.467332489,637.1666667,6.452318926,2,2,0,1,1,1,0,0,1,1,1,1,1
"71",1131,4,0.5,32,32,63,529,6.264467931,518.03125,6.235891224,24,24,48,568.7083333,6.340030464,570.625,6.343518309,2,2,0,1,1,1,1,0,1,1,1,0.984375,1
"72",1132,4,0.5,32,32,63,541.09375,6.289056789,550.3225806,6.306258913,24,24,47,540.3043478,6.287331844,541.625,6.291837376,2,2,0,1,1,1,1,0,1,1,1,0.984375,0.979166666666667
"73",1133,3,0.484375,32,32,62,457.4333333,6.120193693,463.84375,6.130742742,24,24,47,463.375,6.135732874,469.1304348,6.14705443,2,2,0,1,1,1,0,0,1,1,1,0.96875,0.979166666666667
"74",1135,2,0.515625,32,32,64,577.84375,6.352456968,588,6.371505071,24,24,48,596.3333333,6.3856401,607.0416667,6.404136427,2,2,0,1,1,1,1,1,1,1,1,1,1
"75",1140,3,0.5,32,32,62,482.9677419,6.17568375,476.2580645,6.157747181,24,24,48,445.7083333,6.091350736,443.75,6.092542719,2,2,0,1,1,1,0,0,1,1,1,0.96875,1
"76",1143,2,0.515625,32,32,64,600,6.383357821,574.125,6.328245073,24,24,46,639.7727273,6.452335133,639.75,6.449085685,2,2,0,1,1,1,1,1,1,1,1,1,0.958333333333333
"77",1145,2,0.484375,32,32,57,690.6,6.52264325,696,6.539398971,24,24,47,648.7826087,6.46676388,651.125,6.470565781,2,2,0,1,1,1,1,1,1,1,1,0.890625,0.979166666666667
